Date,Discharge
7/16/1942,178
7/17/1942,171
7/18/1942,451
7/19/1942,277
7/20/1942,251
7/21/1942,206
7/22/1942,228
7/23/1942,296
7/24/1942,203
7/25/1942,189
7/26/1942,178
7/27/1942,449
7/28/1942,1080
7/29/1942,612
7/30/1942,450
7/31/1942,416
8/1/1942,452
8/2/1942,420
8/3/1942,363
8/4/1942,291
8/5/1942,251
8/6/1942,217
8/7/1942,192
8/8/1942,184
8/9/1942,264
8/10/1942,304
8/11/1942,391
8/12/1942,359
8/13/1942,306
8/14/1942,317
8/15/1942,313
8/16/1942,332
8/17/1942,340
8/18/1942,299
8/19/1942,264
8/20/1942,229
8/21/1942,206
8/22/1942,189
8/23/1942,176
8/24/1942,168
8/25/1942,156
8/26/1942,147
8/27/1942,138
8/28/1942,138
8/29/1942,201
8/30/1942,186
8/31/1942,154
9/1/1942,140
9/2/1942,132
9/3/1942,123
9/4/1942,123
9/5/1942,123
9/6/1942,115
9/7/1942,111
9/8/1942,178
9/9/1942,310
9/10/1942,341
9/11/1942,284
9/12/1942,251
9/13/1942,208
9/14/1942,178
9/15/1942,161
9/16/1942,152
9/17/1942,145
9/18/1942,143
9/19/1942,138
9/20/1942,176
9/21/1942,166
9/22/1942,140
9/23/1942,136
9/24/1942,125
9/25/1942,115
9/26/1942,109
9/27/1942,565
9/28/1942,2760
9/29/1942,1470
9/30/1942,959
10/1/1942,759
10/2/1942,630
10/3/1942,534
10/4/1942,467
10/5/1942,450
10/6/1942,608
10/7/1942,734
10/8/1942,552
10/9/1942,467
10/10/1942,420
10/11/1942,383
10/12/1942,355
10/13/1942,328
10/14/1942,306
10/15/1942,295
10/16/1942,291
10/17/1942,364
10/18/1942,640
10/19/1942,635
10/20/1942,520
10/21/1942,471
10/22/1942,654
10/23/1942,718
10/24/1942,660
10/25/1942,595
10/26/1942,1270
10/27/1942,2690
10/28/1942,2070
10/29/1942,1780
10/30/1942,1490
10/31/1942,1280
11/1/1942,1230
11/2/1942,1270
11/3/1942,1090
11/4/1942,1000
11/5/1942,874
11/6/1942,792
11/7/1942,742
11/8/1942,690
11/9/1942,640
11/10/1942,638
11/11/1942,1030
11/12/1942,930
11/13/1942,842
11/14/1942,830
11/15/1942,770
11/16/1942,737
11/17/1942,759
11/18/1942,1210
11/19/1942,1480
11/20/1942,1250
11/21/1942,2160
11/22/1942,2330
11/23/1942,1830
11/24/1942,1780
11/25/1942,2550
11/26/1942,2780
11/27/1942,2200
11/28/1942,1840
11/29/1942,1540
11/30/1942,1430
12/1/1942,1330
12/2/1942,3870
12/3/1942,2940
12/4/1942,2090
12/5/1942,1820
12/6/1942,1560
12/7/1942,1350
12/8/1942,1150
12/9/1942,1000
12/10/1942,904
12/11/1942,842
12/12/1942,808
12/13/1942,759
12/14/1942,600
12/15/1942,580
12/16/1942,640
12/17/1942,450
12/18/1942,430
12/19/1942,480
12/20/1942,350
12/21/1942,380
12/22/1942,420
12/23/1942,440
12/24/1942,440
12/25/1942,420
12/26/1942,390
12/27/1942,360
12/28/1942,1000
12/29/1942,2800
12/30/1942,11400
12/31/1942,17100
1/1/1943,7110
1/2/1943,4300
1/3/1943,3040
1/4/1943,2440
1/5/1943,1910
1/6/1943,1590
1/7/1943,1390
1/8/1943,1200
1/9/1943,910
1/10/1943,906
1/11/1943,1080
1/12/1943,1040
1/13/1943,742
1/14/1943,646
1/15/1943,729
1/16/1943,705
1/17/1943,806
1/18/1943,872
1/19/1943,886
1/20/1943,748
1/21/1943,552
1/22/1943,537
1/23/1943,640
1/24/1943,620
1/25/1943,640
1/26/1943,699
1/27/1943,804
1/28/1943,620
1/29/1943,540
1/30/1943,560
1/31/1943,520
2/1/1943,520
2/2/1943,490
2/3/1943,470
2/4/1943,470
2/5/1943,540
2/6/1943,560
2/7/1943,700
2/8/1943,840
2/9/1943,660
2/10/1943,560
2/11/1943,900
2/12/1943,1400
2/13/1943,1300
2/14/1943,940
2/15/1943,700
2/16/1943,640
2/17/1943,740
2/18/1943,760
2/19/1943,720
2/20/1943,860
2/21/1943,2600
2/22/1943,3300
2/23/1943,3590
2/24/1943,8230
2/25/1943,8830
2/26/1943,4430
2/27/1943,3100
2/28/1943,2420
3/1/1943,1960
3/2/1943,1560
3/3/1943,1250
3/4/1943,960
3/5/1943,955
3/6/1943,1030
3/7/1943,1240
3/8/1943,997
3/9/1943,642
3/10/1943,828
3/11/1943,1680
3/12/1943,6170
3/13/1943,4480
3/14/1943,3030
3/15/1943,3080
3/16/1943,4690
3/17/1943,9390
3/18/1943,8330
3/19/1943,5400
3/20/1943,5570
3/21/1943,4210
3/22/1943,3240
3/23/1943,2460
3/24/1943,2020
3/25/1943,1820
3/26/1943,1650
3/27/1943,1580
3/28/1943,1510
3/29/1943,1320
3/30/1943,1270
3/31/1943,1680
4/1/1943,1490
4/2/1943,1500
4/3/1943,1490
4/4/1943,1260
4/5/1943,1290
4/6/1943,1210
4/7/1943,980
4/8/1943,1000
4/9/1943,941
4/10/1943,845
4/11/1943,742
4/12/1943,693
4/13/1943,767
4/14/1943,900
4/15/1943,808
4/16/1943,729
4/17/1943,868
4/18/1943,1500
4/19/1943,2730
4/20/1943,4650
4/21/1943,4730
4/22/1943,4760
4/23/1943,3640
4/24/1943,2880
4/25/1943,2430
4/26/1943,2700
4/27/1943,2150
4/28/1943,2690
4/29/1943,2460
4/30/1943,2510
5/1/1943,3170
5/2/1943,2440
5/3/1943,2370
5/4/1943,2320
5/5/1943,1910
5/6/1943,1610
5/7/1943,1550
5/8/1943,1860
5/9/1943,2340
5/10/1943,3020
5/11/1943,3640
5/12/1943,4330
5/13/1943,4010
5/14/1943,2990
5/15/1943,2400
5/16/1943,1970
5/17/1943,1760
5/18/1943,2240
5/19/1943,2890
5/20/1943,3010
5/21/1943,4070
5/22/1943,6640
5/23/1943,4790
5/24/1943,3410
5/25/1943,2620
5/26/1943,4260
5/27/1943,4100
5/28/1943,2850
5/29/1943,2350
5/30/1943,1890
5/31/1943,1580
6/1/1943,1520
6/2/1943,2630
6/3/1943,2540
6/4/1943,1820
6/5/1943,1670
6/6/1943,1320
6/7/1943,1280
6/8/1943,1670
6/9/1943,1200
6/10/1943,990
6/11/1943,913
6/12/1943,826
6/13/1943,687
6/14/1943,595
6/15/1943,526
6/16/1943,473
6/17/1943,575
6/18/1943,749
6/19/1943,579
6/20/1943,432
6/21/1943,372
6/22/1943,340
6/23/1943,305
6/24/1943,276
6/25/1943,252
6/26/1943,237
6/27/1943,267
6/28/1943,264
6/29/1943,286
6/30/1943,283
7/1/1943,246
7/2/1943,212
7/3/1943,190
7/4/1943,180
7/5/1943,270
7/6/1943,289
7/7/1943,242
7/8/1943,198
7/9/1943,172
7/10/1943,162
7/11/1943,180
7/12/1943,168
7/13/1943,155
7/14/1943,160
7/15/1943,146
7/16/1943,125
7/17/1943,116
7/18/1943,108
7/19/1943,98
7/20/1943,96
7/21/1943,94
7/22/1943,135
7/23/1943,208
7/24/1943,165
7/25/1943,143
7/26/1943,121
7/27/1943,114
7/28/1943,106
7/29/1943,110
7/30/1943,190
7/31/1943,302
8/1/1943,223
8/2/1943,168
8/3/1943,148
8/4/1943,175
8/5/1943,237
8/6/1943,258
8/7/1943,207
8/8/1943,170
8/9/1943,146
8/10/1943,141
8/11/1943,125
8/12/1943,116
8/13/1943,110
8/14/1943,110
8/15/1943,110
8/16/1943,141
8/17/1943,123
8/18/1943,106
8/19/1943,106
8/20/1943,102
8/21/1943,94
8/22/1943,89
8/23/1943,85
8/24/1943,83
8/25/1943,80
8/26/1943,76
8/27/1943,135
8/28/1943,343
8/29/1943,272
8/30/1943,190
8/31/1943,146
9/1/1943,121
9/2/1943,108
9/3/1943,98
9/4/1943,94
9/5/1943,94
9/6/1943,90
9/7/1943,85
9/8/1943,80
9/9/1943,76
9/10/1943,73
9/11/1943,70
9/12/1943,65
9/13/1943,63
9/14/1943,60
9/15/1943,59
9/16/1943,57
9/17/1943,57
9/18/1943,56
9/19/1943,54
9/20/1943,53
9/21/1943,53
9/22/1943,52
9/23/1943,50
9/24/1943,49
9/25/1943,46
9/26/1943,45
9/27/1943,45
9/28/1943,43
9/29/1943,42
9/30/1943,41
10/1/1943,45
10/2/1943,53
10/3/1943,54
10/4/1943,59
10/5/1943,59
10/6/1943,60
10/7/1943,59
10/8/1943,57
10/9/1943,56
10/10/1943,53
10/11/1943,49
10/12/1943,47
10/13/1943,47
10/14/1943,47
10/15/1943,91
10/16/1943,149
10/17/1943,237
10/18/1943,193
10/19/1943,178
10/20/1943,143
10/21/1943,123
10/22/1943,110
10/23/1943,100
10/24/1943,94
10/25/1943,90
10/26/1943,149
10/27/1943,2170
10/28/1943,1960
10/29/1943,2890
10/30/1943,1910
10/31/1943,1300
11/1/1943,969
11/2/1943,886
11/3/1943,1240
11/4/1943,1000
11/5/1943,826
11/6/1943,717
11/7/1943,623
11/8/1943,718
11/9/1943,6130
11/10/1943,4370
11/11/1943,2820
11/12/1943,2190
11/13/1943,1800
11/14/1943,1490
11/15/1943,1250
11/16/1943,1180
11/17/1943,1060
11/18/1943,934
11/19/1943,859
11/20/1943,976
11/21/1943,976
11/22/1943,1160
11/23/1943,1100
11/24/1943,1020
11/25/1943,962
11/26/1943,920
11/27/1943,913
11/28/1943,969
11/29/1943,839
11/30/1943,754
12/1/1943,699
12/2/1943,669
12/3/1943,652
12/4/1943,646
12/5/1943,652
12/6/1943,629
12/7/1943,681
12/8/1943,767
12/9/1943,657
12/10/1943,812
12/11/1943,693
12/12/1943,463
12/13/1943,520
12/14/1943,480
12/15/1943,440
12/16/1943,410
12/17/1943,410
12/18/1943,430
12/19/1943,420
12/20/1943,410
12/21/1943,400
12/22/1943,380
12/23/1943,310
12/24/1943,270
12/25/1943,270
12/26/1943,280
12/27/1943,580
12/28/1943,680
12/29/1943,430
12/30/1943,310
12/31/1943,250
1/1/1944,235
1/2/1944,220
1/3/1944,210
1/4/1944,220
1/5/1944,225
1/6/1944,235
1/7/1944,220
1/8/1944,200
1/9/1944,185
1/10/1944,180
1/11/1944,190
1/12/1944,185
1/13/1944,185
1/14/1944,180
1/15/1944,170
1/16/1944,170
1/17/1944,155
1/18/1944,145
1/19/1944,145
1/20/1944,155
1/21/1944,160
1/22/1944,170
1/23/1944,190
1/24/1944,185
1/25/1944,170
1/26/1944,150
1/27/1944,320
1/28/1944,800
1/29/1944,1060
1/30/1944,760
1/31/1944,520
2/1/1944,400
2/2/1944,360
2/3/1944,340
2/4/1944,360
2/5/1944,330
2/6/1944,310
2/7/1944,300
2/8/1944,270
2/9/1944,235
2/10/1944,210
2/11/1944,195
2/12/1944,185
2/13/1944,175
2/14/1944,180
2/15/1944,225
2/16/1944,370
2/17/1944,460
2/18/1944,360
2/19/1944,300
2/20/1944,270
2/21/1944,250
2/22/1944,260
2/23/1944,900
2/24/1944,1850
2/25/1944,1650
2/26/1944,1300
2/27/1944,880
2/28/1944,720
2/29/1944,640
3/1/1944,540
3/2/1944,450
3/3/1944,390
3/4/1944,350
3/5/1944,320
3/6/1944,300
3/7/1944,520
3/8/1944,1000
3/9/1944,820
3/10/1944,460
3/11/1944,410
3/12/1944,390
3/13/1944,1180
3/14/1944,1900
3/15/1944,1400
3/16/1944,2450
3/17/1944,9600
3/18/1944,5930
3/19/1944,2680
3/20/1944,1990
3/21/1944,1640
3/22/1944,1310
3/23/1944,1420
3/24/1944,5010
3/25/1944,3980
3/26/1944,4750
3/27/1944,3890
3/28/1944,2850
3/29/1944,2270
3/30/1944,1850
3/31/1944,1660
4/1/1944,1430
4/2/1944,1330
4/3/1944,1320
4/4/1944,1180
4/5/1944,1090
4/6/1944,951
4/7/1944,892
4/8/1944,1340
4/9/1944,2030
4/10/1944,3500
4/11/1944,3850
4/12/1944,3320
4/13/1944,3200
4/14/1944,2370
4/15/1944,2010
4/16/1944,2170
4/17/1944,2070
4/18/1944,1710
4/19/1944,1490
4/20/1944,1320
4/21/1944,1330
4/22/1944,1540
4/23/1944,1390
4/24/1944,2070
4/25/1944,4010
4/26/1944,3410
4/27/1944,2800
4/28/1944,2280
4/29/1944,1840
4/30/1944,1530
5/1/1944,1320
5/2/1944,1160
5/3/1944,1060
5/4/1944,924
5/5/1944,804
5/6/1944,703
5/7/1944,846
5/8/1944,2120
5/9/1944,1580
5/10/1944,1240
5/11/1944,1270
5/12/1944,1090
5/13/1944,931
5/14/1944,991
5/15/1944,829
5/16/1944,714
