STATION,STATION_NAME,DATE,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT09,WT14,WT01,WT06,WT05,WT11,WT04,WT03
GHCND:USC00302036,DELHI 2 SE NY US,19401118,-9999,-9999,-9999,-9999,13,51,13,11,-17,-6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401119,-9999,-9999,-9999,-9999,0,0,0,56,-22,33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401120,-9999,-9999,-9999,-9999,13,0,0,89,6,78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401121,-9999,-9999,-9999,-9999,0,0,0,89,39,89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401122,-9999,-9999,-9999,-9999,0,0,0,172,56,83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401123,-9999,-9999,-9999,-9999,178,0,0,83,28,33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401124,-9999,-9999,-9999,-9999,0,0,0,44,-6,33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401125,-9999,-9999,-9999,-9999,8,0,0,33,-56,-44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401126,-9999,-9999,-9999,-9999,0,0,0,0,-128,-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401127,-9999,-9999,-9999,-9999,152,127,114,0,-61,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401128,-9999,-9999,-9999,-9999,20,152,38,0,-100,-67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401129,-9999,-9999,-9999,-9999,13,152,0,-28,-122,-28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401130,-9999,-9999,-9999,-9999,5,127,0,17,-61,-6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401201,-9999,-9999,-9999,-9999,58,102,0,44,-44,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401202,-9999,-9999,-9999,-9999,0,102,0,-33,-178,-44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401203,-9999,-9999,-9999,-9999,20,127,25,-44,-167,-111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401204,-9999,-9999,-9999,-9999,0,127,0,-111,-289,-111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401205,-9999,-9999,-9999,-9999,48,178,38,-11,-94,-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401206,-9999,-9999,-9999,-9999,0,152,0,-11,-178,-28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401207,-9999,-9999,-9999,-9999,20,127,0,33,-61,33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401208,-9999,-9999,-9999,-9999,0,102,0,44,-6,-6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401209,-9999,-9999,-9999,-9999,0,102,0,-6,-56,-44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401210,-9999,-9999,-9999,-9999,0,51,0,61,-128,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401211,-9999,-9999,-9999,-9999,0,51,0,44,-17,-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401212,-9999,-9999,-9999,-9999,56,25,0,28,-33,28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401213,-9999,-9999,-9999,-9999,23,25,0,78,-17,-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401214,-9999,-9999,-9999,-9999,0,25,0,-11,-106,-44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401215,-9999,-9999,-9999,-9999,0,25,0,39,-100,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401216,-9999,-9999,-9999,-9999,43,-9999,-9999,50,-56,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401217,-9999,-9999,-9999,-9999,46,51,-9999,56,-56,-50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401218,-9999,-9999,-9999,-9999,0,51,0,-22,-167,-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
